Component,Source & Link,Qty,Total Cost (INR),Total Cost (USD)
Gateron Yellow Mechanical Switches,Amazon.in,62,2400.0,25.0
PBT Dye‑sublimated Keycaps (Black),neomacro.in,62,2550.0,30.0
Kailh Hot‑swap Sockets,neomacro.in,62,1300.0,15.5
Rotary Encoders,neomacro.in,2,340.0,4.0
Encoder Knobs,neomacro.in,2,170.0,2.0
Custom PCB (5 pcs) – Gerber_Y51,JLCPCB via EasyEDA,5,2550.0,30.0
Arduino Pro Micro (Clone),Amazon.in,1,850.0,10.0
"Diode Kit (1N4148, 100 pcs)",Amazon.in,1,85.0,1.0
"Screws, Standoffs, Mounting HW",Local / Maker Kit,1 set,150.0,1.8
Shipping (PCB from JLCPCB),JLCPCB,1,425.0,5.33
Total,,,10820.0,124.63
